h3_polyfill,Trees,Habitats,Livestock production,Crop production,All food production,geometry_wkt
86194a99fffffff,1 - low,2 - medium,2 - medium,2 - medium,1 - low,"POLYGON ((558519.4013600629 162202.43913308566, 555293.4841586367 161186.30807605188, 554792.3750613887 157686.49029079688, 557518.3331217283 155203.5485809918, 560744.1080997615 156221.15581646145, 561244.0678992698 159720.22893617064, 558519.4013600629 162202.43913308566))"
861942d4fffffff,2 - medium,1 - low,2 - medium,2 - medium,2 - medium,"POLYGON ((440362.0002677019 450609.88848213956, 437127.83262336836 449666.0291701156, 436610.38879923325 446238.9324911899, 439328.4073438734 443756.3285870652, 442562.5639104973 444701.7117719137, 443078.71369238 448128.1752351073, 440362.0002677019 450609.88848213956))"
86195c367ffffff,2 - medium,2 - medium,2 - medium,2 - medium,2 - medium,"POLYGON ((435561.7683933475 274188.24643849797, 432299.2641065597 273195.5110162299, 431776.06548975006 269706.8417214707, 434516.60134108417 267211.61642015167, 437779.01998143515 268205.86224132555, 438300.9890980933 271693.8232811986, 435561.7683933475 274188.24643849797))"
86195dc8fffffff,3 - high,2 - medium,2 - medium,3 - high,3 - high,"POLYGON ((444433.995164011 250249.5082076742, 441171.85005913244 249250.73728840752, 440649.9061000057 245755.99715021515, 443391.3254323903 243260.74584694306, 446653.3738305288 244261.02306947374, 447174.10028225294 247755.04561721004, 444433.995164011 250249.5082076742))"
86194e047ffffff,2 - medium,2 - medium,1 - low,3 - high,3 - high,"POLYGON ((593397.961067794 213115.93587420782, 590193.9324984641 212115.46213905414, 589701.721755613 208638.7024925325, 592414.6991607039 206163.13780549238, 595618.6044176475 207165.08806901675, 596109.6562368717 210641.12682259787, 593397.961067794 213115.93587420782))"
8619558cfffffff,1 - low,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((388618.7828692329 517359.209949877, 385373.3214473661 516431.24414371955, 384845.86287174484 513018.07376564434, 387565.20029734273 510533.4777133961, 390810.6846050627 511462.9798780873, 391336.8092903436 514875.5419595429, 388618.7828692329 517359.209949877))"
86195a2cfffffff,3 - high,2 - medium,3 - high,1 - low,2 - medium,"POLYGON ((262169.52397935337 130135.36979877335, 258815.58467243428 129093.66269318314, 258254.09044910723 125524.08855675953, 261047.75618756886 122997.0052445546, 264401.55780290905 124040.23477812528, 264961.83207347407 127609.0255794664, 262169.52397935337 130135.36979877335))"
8619730b7ffffff,1 - low,3 - high,1 - low,1 - low,1 - low,"POLYGON ((384966.61741531204 613690.2792915208, 381735.4846262518 612789.209696797, 381209.6232415271 609411.423286157, 383916.2632253104 606935.2737837626, 387147.4594994088 607837.8832156361, 387671.95299181243 611215.1024985557, 384966.61741531204 613690.2792915208))"
86195bb1fffffff,2 - medium,2 - medium,3 - high,3 - high,3 - high,"POLYGON ((368379.8210420193 98949.16013320559, 365065.67549876356 97905.15143868476, 364524.9398046758 94347.51881190808, 367299.52764753846 91834.682357729, 370613.51463660266 92880.19068748082, 371153.0730216239 96437.03622536847, 368379.8210420193 98949.16013320559))"
861955a8fffffff,1 - low,3 - high,2 - medium,1 - low,1 - low,"POLYGON ((393619.18351739284 489408.60755004245, 390371.3637983794 488473.08520127414, 389844.3546867387 485050.6881978555, 392566.4884563116 482564.4337173506, 395814.31868986343 483501.4902711208, 396340.00532800757 486923.26733416505, 393619.18351739284 489408.60755004245))"
861943d37ffffff,2 - medium,1 - low,1 - low,3 - high,2 - medium,"POLYGON ((498053.7729106427 382317.51999208436, 494833.61132713105 381357.86542388547, 494326.94829882454 377918.2458752845, 497041.69894073985 375438.93909804616, 500261.8150340689 376400.10287501995, 500767.22664911905 379839.0644915327, 498053.7729106427 382317.51999208436))"
86194a81fffffff,2 - medium,2 - medium,1 - low,2 - medium,1 - low,"POLYGON ((568917.3144171595 148775.59641523368, 565694.0235838646 147756.46265990002, 565194.5481193025 144254.58398911243, 567919.5050865748 141772.5887094297, 571142.6474369083 142793.19510760574, 571640.9819591166 146294.32450001058, 568917.3144171595 148775.59641523368))"
861940637ffffff,2 - medium,1 - low,1 - low,3 - high,2 - medium,"POLYGON ((518846.08111283754 398356.93424112716, 515637.23123718455 397402.81965619983, 515135.6553937282 393972.9142028615, 517844.18088694126 391497.7732408081, 521052.9898439309 392453.394574468, 521553.31489677733 395882.65038539417, 518846.08111283754 398356.93424112716))"
86194e71fffffff,3 - high,1 - low,1 - low,2 - medium,2 - medium,"POLYGON ((558569.3967983441 205571.1398384454, 555349.4262146554 204566.66958663036, 554849.8000913411 201080.49653048324, 557571.3115430411 198599.52091367746, 560791.158060055 199605.4727476039, 561289.6178522127 203090.9189524551, 558569.3967983441 205571.1398384454))"
861942c5fffffff,1 - low,1 - low,2 - medium,1 - low,1 - low,"POLYGON ((429097.4604417904 437485.8638272056, 425856.48119576095 436537.75957359676, 425336.1484739579 433103.7499672108, 428058.0885066452 430618.4844778861, 431299.05239302834 431568.1137984693, 431818.0922902759 435001.4837940328, 429097.4604417904 437485.8638272056))"
86195b197ffffff,3 - high,2 - medium,3 - high,2 - medium,3 - high,"POLYGON ((307337.4268870953 113677.91930036197, 303999.92991855677 112634.35667817804, 303447.2939234876 109068.85740169272, 306233.3560449992 106547.70744021886, 309570.7048189105 107592.78232406048, 310122.1403605182 111157.4952949787, 307337.4268870953 113677.91930036197))"
86195ba27ffffff,1 - low,2 - medium,3 - high,2 - medium,3 - high,"POLYGON ((370613.51463660266 92880.19068748082, 367299.52764753846 91834.682357729, 366759.1255842367 88275.66870934723, 369533.88530028914 85762.95318923975, 372847.7108568779 86809.95985502473, 373386.93881385354 90368.18409631628, 370613.51463660266 92880.19068748082))"
861959da7ffffff,2 - medium,3 - high,3 - high,2 - medium,2 - medium,"POLYGON ((413762.71075164987 170498.39588257414, 410476.7775708356 169476.26054501004, 409946.5816998477 165949.8380807481, 412703.5141046395 163446.30475525116, 415989.31794511405 164469.9420560759, 416518.31940226 167995.61107736727, 413762.71075164987 170498.39588257414))"
86194338fffffff,2 - medium,1 - low,1 - low,3 - high,3 - high,"POLYGON ((517838.3112815553 285984.7937865769, 514612.3369285498 284999.836426394, 514106.88185973593 281531.5648842885, 516828.61126039136 279048.9478126029, 520054.49821430113 280035.4025433571, 520558.7438355744 283502.97728264326, 517838.3112815553 285984.7937865769))"
86195d107ffffff,3 - high,2 - medium,2 - medium,3 - high,2 - medium,"POLYGON ((478839.64975501935 230816.6233775607, 475589.31288026925 229814.49469232158, 475074.0205419131 226320.36492730613, 477810.2654846322 223829.0870991011, 481060.4946563209 224832.71397824615, 481574.5872617377 228326.12082260102, 478839.64975501935 230816.6233775607))"
86187492fffffff,3 - high,1 - low,3 - high,2 - medium,2 - medium,"POLYGON ((249871.39527551315 133107.19128807398, 246512.8064696178 132065.58508341503, 245948.86535408464 128494.4445535558, 248744.73835934684 125965.69376178383, 252103.19167043854 127008.82494191985, 252665.90817514015 130579.18232147052, 249871.39527551315 133107.19128807398))"
86195979fffffff,1 - low,3 - high,2 - medium,1 - low,1 - low,"POLYGON ((394932.74551288586 87019.58509872775, 391628.1207965689 85973.9130567415, 391092.40132639435 82418.05745815008, 393862.4721410643 79908.66397900792, 397166.93142876937 80955.82932875163, 397701.48601036315 84510.89524203524, 394932.74551288586 87019.58509872775))"
861942527ffffff,1 - low,2 - medium,3 - high,1 - low,1 - low,"POLYGON ((405227.45758248353 443639.0948834921, 401977.3493947458 442691.4285257729, 401451.8213129651 439254.8627413417, 404177.7045568159 436766.60226871644, 407427.80257918173 437715.7982742693, 407952.028210465 441151.7253558291, 405227.45758248353 443639.0948834921))"
86195c077ffffff,1 - low,1 - low,1 - low,2 - medium,1 - low,"POLYGON ((408681.7133900182 302629.9927353363, 405411.9676314433 301643.55675802584, 404883.75050187553 298158.9505360093, 407626.5283550783 295661.4789857097, 410896.2030756284 296649.43288811424, 411423.17166687525 300133.3407222236, 408681.7133900182 302629.9927353363))"
86194390fffffff,1 - low,1 - low,1 - low,3 - high,3 - high,"POLYGON ((543921.8265237454 359887.702769494, 540717.8661101056 358924.37424315774, 540220.4650271607 355486.1932692509, 542928.2540640997 353012.0050174098, 546132.1553916126 353976.833029736, 546628.3274345495 357414.3500855397, 543921.8265237454 359887.702769494))"
861943a4fffffff,1 - low,1 - low,1 - low,3 - high,3 - high,"POLYGON ((564563.3864577044 290343.68410632265, 561357.9919733994 289362.49931404844, 560862.5710587852 285905.039235885, 563573.7422480932 283429.45557219716, 566779.0473323028 284412.1301060447, 567273.2712891015 287868.8988653517, 564563.3864577044 290343.68410632265))"
